ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Total_Spent,Tenure_Months,Ad_Spend,Revenue,Churn,Channel,CLTV,ROI,Age,Age_Group,Income_Group
1994,1983,Graduation,Married,,1,0,2023-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,19,13,43.04873460781307,29.583442528897205,False,Phone,384.58475287566364,-0.3127918207489425,42,40-50,
387,1976,Basic,Married,7500.0,0,0,2023-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,61,13,43.01405369644615,83.43453105255846,False,SMS,1084.64890368326,0.93970397771303,49,40-50,Low
2125,1959,Graduation,Divorced,63033.0,0,0,2023-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,1102,13,53.629434073490515,1666.3851137254337,True,Email,21663.006478430638,30.07221141737056,66,60+,Mid-High
8180,1952,Master,Divorced,59354.0,1,1,2023-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,310,13,21.300796330133032,431.0656309293363,False,Phone,5603.853202081372,19.23706645744188,73,60+,Mid-High
2569,1987,Graduation,Married,17323.0,0,0,2023-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,46,14,24.126232512304508,64.35473327948827,False,Phone,900.9662659128358,1.6674174364632774,38,30-40,Low
2114,1946,PhD,Single,82800.0,0,0,2023-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,1315,13,41.56568706138541,1685.661737364131,False,Phone,21913.602585733704,39.554165142866445,79,60+,High
9736,1980,Graduation,Married,41850.0,1,1,2023-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,96,12,34.80753319498364,137.89940364512702,False,SMS,1654.7928437415244,2.9617689329676677,45,40-50,Mid-Low
4939,1946,Graduation,Together,37760.0,0,0,2023-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,317,16,54.71370998892911,404.0020318351245,False,Email,6464.032509361992,6.383926842410634,79,60+,Mid-Low
6565,1949,Master,Married,76995.0,0,1,2023-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,1782,21,36.37963886718184,2374.7393174950957,True,Phone,49869.525667397014,64.2766050307705,76,60+,High
2278,1985,2n Cycle,Single,33812.0,1,0,2023-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,133,14,28.815444479970623,205.08760672618055,True,Social Media,2871.2264941665276,6.117280695383173,40,30-40,Low
9360,1982,Graduation,Married,37040.0,0,0,2023-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,316,17,71.98473153382331,405.37438228425214,False,Email,6891.364498832287,4.631393958783881,43,40-50,Mid-Low
5376,1979,Graduation,Married,2447.0,1,0,2023-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,1730,24,46.61335549270196,2125.2415333400154,False,Phone,51005.79680016037,44.59297460730444,46,40-50,Low
1993,1949,PhD,Married,58607.0,0,1,2023-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,0,972,12,51.012923070318855,1193.230152007863,False,Social Media,14318.761824094356,22.39074258424777,76,60+,Mid-High
4047,1954,PhD,Married,65324.0,0,1,2023-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,544,24,28.628777206798148,857.5147116614762,False,Phone,20580.35307987543,28.9528933934996,71,60+,Mid-High
1409,1951,Graduation,Together,40689.0,0,1,2023-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,444,21,41.834259132122256,622.8290697820219,False,Phone,13079.41046542246,13.888014816157822,74,60+,Mid-Low
7892,1969,Graduation,Single,18589.0,0,0,2023-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,75,24,51.663838845647994,102.28236215451057,True,Email,2454.7766917082536,0.9797669789906934,56,50-60,Low
2404,1976,Graduation,Married,53359.0,1,1,2023-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,257,19,32.73509633866546,391.7583181276141,False,Phone,7443.408044424667,10.96753215798189,49,40-50,Mid-High
5255,1986,Graduation,Single,,1,0,2023-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,637,22,55.63547027518508,977.3684464315996,False,SMS,21502.10582149519,16.56736200120757,39,30-40,
9422,1989,Graduation,Married,38360.0,1,0,2023-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,131,19,40.99041965121793,174.6068101352577,False,Phone,3317.529392569896,3.259698037272221,36,30-40,Mid-Low
1966,1965,PhD,Married,84618.0,0,0,2023-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1672,13,45.62459375310085,2470.291756838474,True,Phone,32113.792838900164,53.14386307101272,60,50-60,High
6864,1989,Master,Divorced,10979.0,0,0,2023-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,30,19,40.97440081655905,45.25347379022264,False,Email,859.8160020142302,0.10443283826945646,36,30-40,Low
3033,1963,Master,Together,38620.0,0,0,2023-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,318,20,77.78417276763406,464.8715673693494,False,Email,9297.431347386988,4.976428762160496,62,60+,Mid-Low
5710,1970,Graduation,Together,40548.0,0,1,2023-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,0,120,14,49.79754162893099,151.27656359040478,False,Social Media,2117.871890265667,2.0378319620203356,55,50-60,Mid-Low
7373,1952,PhD,Divorced,46610.0,0,2,2023-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,1,302,14,34.13433606566149,468.2066764888605,False,Phone,6554.893470844047,12.716589524056035,73,60+,Mid-Low
8755,1946,Master,Married,68657.0,0,0,2023-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,1196,22,62.33817368154784,1693.1028340289065,False,Phone,37248.262348635944,26.15996850786898,79,60+,High
10738,1951,Master,Single,49389.0,1,1,2023-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,65,16,31.687345250434667,85.3442830856201,False,Email,1365.5085293699217,1.6933238619745024,74,60+,Mid-Low
4339,1970,PhD,Married,67353.0,0,1,2023-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,913,12,53.132953925071334,1250.8933333218458,False,Phone,15010.71999986215,22.542702615139167,55,50-60,Mid-High
10755,1976,2n Cycle,Married,23718.0,1,0,2023-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,81,16,20.60494814180337,98.4173033289246,False,Social Media,1574.6768532627937,3.7763917022074582,49,40-50,Low
8595,1973,Graduation,Widow,42429.0,0,1,2023-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,67,22,30.077209266523543,83.82683027276079,True,Phone,1844.1902660007372,1.7870547938788162,52,50-60,Mid-Low
2968,1943,PhD,Divorced,48948.0,0,0,2023-02-01,53,437,8,206,160,49,42,2,7,10,5,6,0,1,902,23,52.952918538036855,1358.6092675861228,False,Email,31248.013154480825,24.65692893037074,82,60+,Mid-Low
8601,1980,Graduation,Married,80011.0,0,1,2023-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,1395,20,61.07699869993115,1674.0064921934943,False,Phone,33480.12984386989,26.408132813104015,45,40-50,High
503,1985,Master,Married,20559.0,1,0,2023-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,53,22,52.57052421784956,72.43119556382459,True,SMS,1593.486302404141,0.37779100820211386,40,30-40,Low
8430,1957,Graduation,Together,21994.0,0,1,2023-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,22,12,48.265275764176394,30.99808959355318,False,Phone,371.97707512263815,-0.35775587929903263,68,60+,Low
7281,1959,PhD,Single,,0,0,2023-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,186,14,45.48344456616067,227.26480084807233,False,SMS,3181.7072118730125,3.9966488469775125,66,60+,
2139,1975,Master,Married,7500.0,1,0,2023-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,31,15,27.822170144488588,49.26616922085693,False,Phone,738.992538312854,0.7707522082211217,50,40-50,Low
1371,1976,Graduation,Single,79941.0,0,0,2023-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,984,18,39.20233687407937,1269.8029303798708,False,SMS,22856.452746837673,31.39100093595354,49,40-50,High
9909,1996,2n Cycle,Married,7500.0,0,0,2023-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,1,122,13,43.09041843560319,161.24489751825053,False,Phone,2096.1836677372567,2.7420128040581506,29,<30,Low
7286,1968,Graduation,Together,41728.0,1,0,2023-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,55,19,65.85683339328374,72.68673526961061,True,Email,1381.0479701226016,0.1037083249287143,57,50-60,Mid-Low
7244,1951,Graduation,Single,,2,1,2023-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,124,24,55.15427434352692,160.22866644102055,True,Phone,3845.487994584493,1.905099710732129,74,60+,
6566,1954,PhD,Married,72550.0,1,1,2023-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,1319,13,23.55439766955899,1583.5775885327378,False,Email,20586.508650925593,66.23065521557814,71,60+,High
8614,1957,Graduation,Widow,65486.0,0,1,2023-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,507,19,54.86125954092192,756.3111242410457,False,Social Media,14369.911360579868,12.785886991473479,68,60+,Mid-High
4114,1964,Master,Married,79143.0,0,0,2023-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,1693,16,44.22376579375525,2686.347772464076,False,SMS,42981.56435942522,59.74443739125016,61,60+,High
1331,1977,Graduation,Single,35790.0,1,0,2023-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,72,24,39.84616999541062,92.85965231860928,False,Phone,2228.6316556466227,1.3304536503584816,48,40-50,Mid-Low
2225,1977,Graduation,Divorced,82582.0,0,0,2023-06-07,54,510,120,550,156,40,241,1,4,9,7,1,0,1,1617,19,59.175144332613016,2369.2589236584536,False,Phone,45015.91954951062,39.038075958738155,48,40-50,High
9381,1978,Graduation,Married,66373.0,1,1,2023-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,606,18,65.46499283743927,907.0356696547924,False,Email,16326.642053786263,12.855277917880729,47,40-50,Mid-High
6260,1955,Master,Together,82384.0,0,0,2023-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,1,1957,13,63.96920178674298,3012.5473867520627,False,SMS,39163.116027776814,46.09371545380742,70,60+,High
10383,1966,Graduation,Divorced,70287.0,0,0,2023-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,1,1093,21,37.41173715166042,1496.37348493435,False,Phone,31423.84318362135,38.99743393011457,59,50-60,High
7437,1988,Graduation,Single,27938.0,1,0,2023-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,29,20,45.36181436223178,38.313998505428984,False,Email,766.2799701085796,-0.1553689144910131,37,30-40,Low
8557,1982,Graduation,Single,,1,0,2023-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,46,18,54.96895147105346,61.185430466023774,False,Phone,1101.3377483884278,0.11309073265193902,43,40-50,
8375,1968,PhD,Married,55954.0,0,1,2023-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,518,22,64.63317690683539,769.2551402180119,False,Email,16923.613084796263,10.901861815130088,57,50-60,Mid-High
6853,1982,Master,Single,75777.0,0,0,2023-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1438,18,42.81238643232065,2195.411549134042,False,Phone,39517.40788441276,50.27982184792775,43,40-50,High
3076,1975,Graduation,Together,66653.0,1,1,2023-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,612,16,47.215115350042744,778.8590993068162,False,Phone,12461.74558890906,15.495969427004928,50,40-50,Mid-High
1012,1952,Graduation,Single,61823.0,0,1,2023-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,884,22,33.40497538990958,1191.9647404845855,False,Email,26223.22429066088,34.68225171764785,73,60+,Mid-High
6518,1951,PhD,Widow,67680.0,0,1,2023-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,606,18,32.05690063878994,945.830303691994,False,Social Media,17024.94546645589,28.504733297501232,74,60+,Mid-High
4137,1948,Graduation,Together,70666.0,0,0,2023-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,1076,13,62.18788733591297,1638.400890876616,False,Email,21299.211581396008,25.34598088252555,77,60+,High
8082,1971,Graduation,Married,25721.0,1,0,2023-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,1,34,19,70.34360042856234,54.19407427756968,False,Email,1029.687411273824,-0.22958060225241608,54,50-60,Low
1386,1967,Graduation,Together,32474.0,1,1,2023-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,11,20,48.91984817629499,16.518692342601156,False,Email,330.3738468520231,-0.662331487966359,58,50-60,Low
9369,1979,2n Cycle,Single,88194.0,0,1,2023-03-19,19,688,14,309,201,24,38,1,11,10,10,5,0,1,1274,21,65.05299346838036,1729.172274443829,False,SMS,36312.61776332041,25.580979325483458,46,40-50,High
4477,1958,Graduation,Together,69096.0,0,1,2023-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,653,15,55.424540375714514,937.8746022393992,False,Phone,14068.119033590989,15.921648711594,67,60+,High
1357,1970,Graduation,Together,74854.0,1,2,2023-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,1562,21,40.323203680923136,2287.401706053726,True,Phone,48035.43582712824,55.726685809835416,55,50-60,High
1402,1954,Master,Married,66991.0,0,0,2023-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,1253,15,55.42093408262621,1542.9220551381425,False,Email,23143.830827072135,26.840058647113814,71,60+,Mid-High
10629,1973,2n Cycle,Married,,1,0,2023-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,109,15,73.07054849698955,154.5400674169285,False,Email,2318.1010112539275,1.114943306102259,52,50-60,
6312,1959,Graduation,Married,65031.0,0,1,2023-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,863,21,49.46260941335073,1280.4575499887449,False,Phone,26889.60854976364,24.88738372632499,66,60+,Mid-High
8132,1975,PhD,Married,60631.0,1,1,2023-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,0,661,21,73.4696548372101,837.4397527778805,True,SMS,17586.23480833549,10.398444087336902,50,40-50,Mid-High
1050,1952,Graduation,Married,28332.0,0,0,2023-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,65,20,10.703823438653837,98.29642465306448,False,SMS,1965.9284930612896,8.183300268023357,73,60+,Low
5846,1977,Graduation,Divorced,40246.0,1,0,2023-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,13,12,62.32853756562836,18.63561845867338,False,Email,223.6274215040806,-0.7010098554125203,48,40-50,Mid-Low
1859,1972,Master,Married,75251.0,0,0,2023-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,1,1890,16,51.30570602357257,2987.879669987382,False,Phone,47806.07471979811,57.236790828189584,53,50-60,High
7503,1976,Graduation,Single,75825.0,0,0,2023-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,0,1,2209,14,45.51488974301199,2688.284342695609,False,Social Media,37635.98079773853,58.06384389535619,49,40-50,High
10401,1976,2n Cycle,Together,26326.0,0,0,2023-09-04,12,1,0,5,0,3,9,1,0,0,3,3,1,0,18,16,51.37641164803254,23.510348190399363,False,Phone,376.1655710463898,-0.5423902246917688,49,40-50,Low
1618,1965,Graduation,Together,56046.0,0,0,2023-01-02,9,577,0,64,0,0,51,2,10,1,8,8,0,1,692,24,20.186466280986608,996.9101137901912,False,SMS,23925.84273096459,48.385073143245926,60,50-60,Mid-High
3332,1985,Graduation,Single,29760.0,1,0,2023-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,165,16,46.70492168243732,217.57295420559143,True,Email,3481.167267289463,3.658458816930346,40,30-40,Low
2261,1969,Graduation,Married,26304.0,1,0,2023-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,16,18,55.3566885726762,23.77231465005595,False,Social Media,427.9016637010071,-0.5705611144198778,56,50-60,Low
5346,1973,2n Cycle,Married,23559.0,1,0,2023-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,79,18,72.16841067112274,118.78456692769302,True,SMS,2138.1222046984744,0.6459357469988338,52,50-60,Low
4119,1963,Master,Together,38620.0,0,0,2023-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,318,20,42.22594672589529,394.6400306292556,False,Social Media,7892.800612585112,8.345913146507156,62,60+,Mid-Low
535,1987,Graduation,Divorced,81361.0,0,0,2023-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,778,22,37.87259595660218,1093.511509261146,False,Phone,24057.253203745215,27.873423689101998,38,30-40,High
5268,1960,Graduation,Married,29440.0,1,1,2023-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,56,16,42.47364434623195,78.59914844523965,True,Phone,1257.5863751238344,0.8505393086716039,65,60+,Low
273,1970,Master,Married,36138.0,1,1,2023-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,0,151,17,63.731031765531114,203.50455852101868,False,Social Media,3459.5774948573176,2.193178470257938,55,50-60,Mid-Low
4452,1957,Graduation,Single,50388.0,0,1,2023-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,372,19,54.93126664489527,585.2192195503673,False,Email,11119.165171456978,9.653663301331346,68,60+,Mid-Low
8504,1973,Graduation,Married,79593.0,0,0,2023-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1366,19,42.05359694349442,2091.3494531787283,False,Phone,39735.63961039584,48.730572535537995,52,50-60,High
771,1967,Graduation,Together,54178.0,0,1,2023-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,194,23,57.699011496700344,286.9034480361878,False,SMS,6598.779304832319,3.9724153082344413,58,50-60,Mid-High
8996,1957,PhD,Married,,2,1,2023-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,603,13,51.45616324022061,895.8955845392816,False,SMS,11646.64259901066,16.410850870416365,68,60+,
9235,1957,Graduation,Single,,1,1,2023-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,18,19,64.52967485799334,24.92435623545446,False,Social Media,473.5627684736348,-0.613753574765346,68,60+,
5798,1973,Master,Together,,0,0,2023-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,985,13,39.469203591839715,1544.871841312051,True,Email,20083.33393705666,38.141196191540445,52,50-60,
11178,1972,Master,Single,42394.0,1,0,2023-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,32,21,45.085067801033475,47.290821468842054,False,SMS,993.1072508456831,0.04892426196502288,53,50-60,Mid-Low
2230,1970,PhD,Married,23626.0,1,0,2023-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,43,19,44.11837770301763,64.13847426048005,True,SMS,1218.631010949121,0.4537813401079133,55,50-60,Low
7516,1983,Graduation,Married,30096.0,1,0,2023-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,45,19,28.04727577801822,69.51043626817221,False,Email,1320.698289095272,1.4783311155891419,42,40-50,Low
7247,1960,Graduation,Widow,47916.0,0,1,2023-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,0,606,13,54.44180415596864,793.6349532565472,False,Phone,10317.254392335113,13.577675474950958,65,60+,Mid-Low
11100,1972,Graduation,Divorced,51813.0,1,1,2023-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,63,21,53.91582908269834,95.93818677744092,False,Email,2014.7019223262594,0.7794066864906584,53,50-60,Mid-High
4646,1951,2n Cycle,Married,78497.0,0,0,2023-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,978,13,50.07670184963691,1249.9781238765795,False,Phone,16249.715610395533,23.961270964486303,74,60+,High
3037,1983,PhD,Married,50150.0,0,0,2023-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,410,18,46.481192999372794,548.6360801681616,False,Social Media,9875.449443026908,10.803399283997825,42,40-50,Mid-Low
1473,1960,2n Cycle,Single,47823.0,0,1,2023-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,72,17,28.769438869243785,96.06558108297148,False,Phone,1633.114878410515,2.339153798570302,65,60+,Mid-Low
1016,1959,PhD,Single,34554.0,0,1,2023-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,55,21,43.69032015851961,87.52756030456109,False,SMS,1838.0787663957828,1.0033627583178335,66,60+,Low
4518,1979,Graduation,Together,85693.0,0,1,2023-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,1169,20,44.85928225209846,1803.3168058245303,False,Social Media,36066.33611649061,39.19941281472852,46,40-50,High
9370,1945,PhD,Married,65846.0,0,0,2023-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,1120,19,37.96584096167572,1658.1240979924364,False,Phone,31504.357861856293,42.674104299868276,80,60+,Mid-High
8908,1959,Graduation,Married,87195.0,0,0,2023-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,1,1097,20,47.580714325009865,1635.4325069968334,False,SMS,32708.650139936668,33.37175187883214,66,60+,High
8373,1979,Basic,Together,24594.0,1,0,2023-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,29,12,56.06076285221808,41.32004441506982,True,Phone,495.8405329808379,-0.2629418096932841,46,40-50,Low
7533,1964,Graduation,Married,49096.0,1,1,2023-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,187,15,78.29278851815795,295.24238189971726,False,SMS,4428.6357284957585,2.7710035303090983,61,60+,Mid-Low
2683,1969,Graduation,Married,52413.0,0,2,2023-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,910,23,52.61866719247759,1272.6381860491797,False,Email,29270.678279131134,23.186058939765715,56,50-60,Mid-High
3629,1978,Graduation,Single,38557.0,1,0,2023-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,145,12,53.86325586084146,196.07002717245388,False,Social Media,2352.8403260694467,2.6401443625875687,47,40-50,Mid-Low
10991,1960,Master,Married,89058.0,0,0,2023-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,850,13,48.883311263507494,1075.432014556741,False,Email,13980.616189237633,20.999982954501192,65,60+,High
5077,1979,Graduation,Together,77298.0,0,1,2023-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,969,14,21.21843177051438,1467.533310816386,False,Phone,20545.4663514294,68.1631373462625,46,40-50,High
7431,1991,PhD,Single,68126.0,0,0,2023-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,1820,13,49.602291868261744,2718.675182551031,False,SMS,35342.7773731634,53.809467065988294,34,30-40,Mid-High
3267,1963,Master,Together,57288.0,0,1,2023-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,0,608,18,50.9034531491154,823.0751453690697,False,Phone,14815.352616643255,15.169338118535345,62,60+,Mid-High
999,1991,Graduation,Single,86037.0,0,0,2023-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,730,24,86.94863168727929,883.3564768760949,False,Phone,21200.55544502628,9.159521314299546,34,30-40,High
9215,1980,PhD,Married,43974.0,1,0,2023-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,551,12,47.114585528283165,846.1150110290497,False,Phone,10153.380132348597,16.958664000580495,45,40-50,Mid-Low
2286,1962,Graduation,Single,50785.0,1,1,2023-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,114,15,54.523210135004184,137.32066004550575,False,SMS,2059.809900682586,1.5185725437935134,63,60+,Mid-Low
1592,1970,Graduation,Married,90765.0,0,0,2023-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1724,23,49.47932345442135,2554.0713680321937,False,Email,58743.64146474045,50.61896302775676,55,50-60,High
367,1978,2n Cycle,Married,36550.0,1,0,2023-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,577,22,32.46982943570702,916.335340924774,False,Email,20159.37750034503,27.221131950791264,47,40-50,Mid-Low
5234,1967,2n Cycle,Together,30753.0,1,1,2023-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,81,17,67.14234221772531,111.3802270320018,True,Email,1893.4638595440306,0.6588671671718633,58,50-60,Low
9862,1969,Graduation,Together,21918.0,1,0,2023-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,33,13,61.27899549030161,42.70164894594657,False,Phone,555.1214362973054,-0.3031601023436359,56,50-60,Low
9805,1953,Master,Together,56129.0,0,1,2023-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,660,18,61.865479205645705,978.0859466514528,False,Email,17605.54703972615,14.809882331957995,72,60+,Mid-High
6205,1967,Master,Single,32557.0,1,0,2023-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,1,80,22,36.35918817807892,122.14810054449872,False,Phone,2687.2582119789718,2.359483714164505,58,50-60,Low
8442,1985,Master,Married,19510.0,2,0,2023-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,30,16,71.04191466404149,42.55716379293417,False,Phone,680.9146206869467,-0.4009569703436658,40,30-40,Low
